PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 2014 Tuesday",5 of 89 DOCUMENTS,Austin American-Statesman (Texas),Letters to the Editor,Austin American-Statesman,MAIN; Pg. A6,,768 words,,,"September 30, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,sept,change,carbon,make,article,column,state,climate,board,voter,national,read,lose,tax,policy,park,course,we,cartoon,energy,footprint,incentivize,representation,debate,watch,tv,science,tell,piece,without,know,people,paper,money,buy,back,vote,economy,business,big,rally,solution,new,part,propose,wonderful,city,political,must,sell,never,mind,enough,sure,march,fossil,go,goods,lower,subsidy,oh,stuff,New_York_City,Austin,Auditorium_Shores,AUSTIN,indifferent,bad,ken,herman,unaware,electorate,frustrated,melt,skirmish,bookend,explain,texan,poor,government,fool,demonstrate,ignorance,sit,committee,technology,wonder,happen,well,lack,knowledge,encounter,attorney,general,greg,abbott,smear,sen,wendy
,10,9,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 13, 2014 Sunday",7 of 89 DOCUMENTS,Austin American-Statesman (Texas),EPA rules clouding outlook for Texas,Asher Price American-Statesman Staff,MAIN; Pg. A1,,1037 words,,,"July 14, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,Texas,energy,carbon,gas,EPA,coal,regulation,emission,state,proposal,power,electricity,price,new,percent,pollution,rule,change,economy,2030,issue,might,meet,natural,association,reliability,concern,effort,million,rate,climate,megawatt,hour,UT,president,announce,greenhouse,part,devastate,industry,cost,director,call,consequence,cut,nation,plant,sector,provide,2013,webber,argument,boom,take,governor,support,affordability,company,june,develop,dioxide,may,lot,economist,bureau,volatility,bad,side,column,system,people,go,legitimate,2012,texas,pound,Obama,Rick_Perry,American,coal_fired,Austin,Economic_Geology,restriction,last,leader,outrage,war,gov,important,stifle,sluggish,recovery,increase,family,deputy,hug,sort,2005,level
,15,11,11,9,9,8,8,8,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2014 Thursday",9 of 89 DOCUMENTS,Austin American-Statesman (Texas),"Exhibit of turmoil, intrigue",Jeanne Claire van Ryzin American-Statesman Staff,LIFESTYLE; Pg. D1,,1126 words,,,"February 27, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,Long,contemporary,catalin,make,sound,pet,plastic,Jones_Center,use,p.m.,Laguna_Gloria,hyperobject,march,cost,Austin,installation,austin,thing,store,perfume,life,environmental,upstairs,1920,box,luxury,climate,change,grounds,end,aesthetic,information,sense,family,700,congress,ave,Art_Deco,Timothy_Morton,complex,department,artist,find,building,commission,water,atomizer,play,record,movie,another,large,gallery,light,bench,fabric,recycl,longer,though,glacier,art,explain,global,elegy,innocence,fun,april,site,sculpture,long,kind,embrace,material,work,book,philosophy,world,something,â,always,matter,really,ceramics,develop,mirror,chemist,funhouse,blob,nice,3809,w.,35th,a.m.,saturday,www.thecontemporary,austin.org,mash_up,Ecology,sprawling
,13,11,9,8,8,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"August 12, 2014 Tuesday",11 of 89 DOCUMENTS,Austin American-Statesman (Texas),Austin's carbon-neutral car goal runs on 'maybe',Lilly Rockwell American-Statesman Staff,MAIN; Pg. A1,,1140 words,,,"August 12, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,city,vehicle,fuel,percent,use,fleet,department,make,truck,gallon,total,Baumer,goal,go,emission,buy,alternative,Austin,car,greenhouse,gas,carbon,climate,utility,though,still,better,ford,seven,fiscal,hybrid,run,reduce,produce,last,dioxide,always,regular,gasoline,station,likely,Riley,2020,part,change,focus,way,500,new,accord,effort,primarily,suv,work,grow,find,far,manager,type,report,least,environmentally,best,recommendation,fewer,cost,lifetime,police,patrol,force,offer,public,safety,hope,zero,success,drive,aggressive,biodiesel,stop,emit,driver,2007,2012,credit,offset,city_owned,carbon_neutral,cleaner_burning,Chevrolet_Equinox,ago,set,ambitious,major,initiative,pass,cut,struggle,achieve
,32,15,15,15,13,9,9,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"May 21, 2014 Wednesday",14 of 89 DOCUMENTS,Austin American-Statesman (Texas),"After heated campaign, debate surprisingly cool",Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,902 words,,,"May 21, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
