PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,11,9,7,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 3, 2015 Friday",38 of 98 DOCUMENTS,Austin American-Statesman (Texas),Limits on watering could be indefinite,Andra Lim American-Statesman Staff,MAIN; Pg. A1,,804 words,,,"July 6, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,water,city,dring,Austin,restriction,lake,permanent,rule,once_a_week,acre_feet,Austin_Water_Utility,end,week,still,use,Slusher,recent,plan,storage,utility,address,downpours,lawn,fact,make,consider,stage,combine,million,project,"900,000",four,memo,run,assistant,rain,supply,customer,trigger,release,limiting,shift,forward,mean,full,resident,save,amount,continue,sprinkler,a.m.,p.m.,number,odd,Travis,Buchanan,Lower_Colorado_River_Authority,Central_Texas,twice_a_week,boost,level,official,ease,talk,suppose,limit,among,conservation,measure,least,1.1,stay,clear,threshold,monday,1.42,accord,expect,fall,rest,far,projection,director,lift,loosen,wary,move,lighter,heart,summer,demand,peak,slusher,large,historically,temporary,respites,middle,major
,35,13,7,7,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 19, 2015 Sunday",41 of 98 DOCUMENTS,Austin American-Statesman (Texas),THE ARTS SCENE,American-Statesman Staff,LIFE; Pg. D3,,290 words,,,"July 20, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,aug,free,art,saturday,allow,Zilker_Park,open,continue,916,springdale,road,hairspray,show,parking,per,car,hillside,chair,rain,Canopy,Sundays,sun,spot,group,exhibition,variety,media,play,color,chromatic,element,friday,big,bigmedium.org,contemporary,exhibit,science,effect,climate,change,participatory,project,invite,public,contribute,tracking,plot,data,keel,curve,carbon,dioxide,concentration,artsciencegallery.com,van,ryzin,summer,musical,story,1960,teens,integrate,television,dance,8:15,aug.,2201,zilker.,org,interpret,go,city,charge,blanket,may,place,beginning,portable,second,level,lawn,along,wall,top,amphitheater,pet,picnic,basket,cooler,welcome,alcohol,glass,container,concession,stand,available,run,½
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2015 Friday",43 of 98 DOCUMENTS,Austin American-Statesman (Texas),ARTS CALENDAR,American-Statesman Staff,A360; Pg. T14,,2203 words,,,"August 28, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,a.m.,saturday,sunday,friday,work,blvd,thursday,noon,free,st.,e.,sept.,theater,road,artist,n.,art,gallery,new,open,comedy,st,w.,603,lamar,bookpeople.com,exhibition,BookPeople,Tuesday_Saturday,close,contemporary,installation,show,center,sign,springdale,improv,Closes,Blanton_Museum,Tuesday_Friday,Monday_Friday,Austin,Texas,stand_up,story,speak,wednesday,exhibit,916,building,200,martin,luther,king,feature,woman,gather,austin,hour,landscape,oct,present,sept,sixth,esther,Thursday_Saturday,American,dance,twist,manor,explore,s.,cultural,cap,funny,research,monday,science,group,media,painting,a.m,third,jr.,blantonmuseum.org,collection,select,congress,ave,thecontemporaryaustin.org,sculpture,35th,multimedia,spotlight,collage,reception,university,program
,83,29,22,20,14,14,12,12,11,11,10,9,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 8, 2015 Tuesday",44 of 98 DOCUMENTS,Austin American-Statesman (Texas),Report: Fracking polluted UT lands,Ralph K.M. Haurwitz American-Statesman Staff,MAIN; Pg. A1,,938 words,,,"September 8, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,system,land,report,ut,frack,use,environmental,million,oil,water,well,state,drilling,equipment,record,chemical,resource,billion,Texas,fracture,air,release,think,drill,gas,environment,company,impact,place,protect,develop,university,University,hydraulic,soil,groundwater,group,gallon,spill,2008,addition,vast,quantity,methane,"4,132",2005,amount,natural,base,call,prohibit,much,protection,lease,pollution,ensure,regulation,industry,leader,benefit,operation,proceed,increase,threaten,health,take,include,complete,toxic,wastewater,require,Texas_Railroad_Commission,Metzger,boom,pollute,accord,tuesday,tank,least,1.6,salt,pollutant,associate,draw,link,global,warming,subject,huge,sand,inject,pressure,create,rock,coax,ground,texas,research,calif
,14,12,11,10,8,7,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2015 Saturday",45 of 98 DOCUMENTS,Austin American-Statesman (Texas),Ex-DA Bradley disputes report of suspension,Claire Osborn American-Statesman Staff,METR; Pg. B4,,404 words,,,"December 14, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Bradley,attorney,Palau,suspend,president,general,newspaper,letter,tuesday,accord,article,country,special,prosecutor,attend,friday,vacation,wife,appoint,work,Island_Times,Bell,dispute,report,job,republic,vice,insubordination,tiny,nation,250,island,western,pacific,southeast,philippine,issue,notice,authorize,nominate,gather,end,go,network,meeting,story,pick,grit,blog,contact,via,email,believe,everything,read,include,whitewater,raft,trip,person,lawfully,supervise,reassure,approve,decision,develop,bound,disagreement,road,democracy,reason,assist,growth,modern,office,send,bell,illegally,contract,suspension,without,pay,option,withheld,write,authority,take,action,personnel,matter,climate,change,conference,hire,2014,district,2001,2012,lose
,11,6,6,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2015 Sunday",46 of 98 DOCUMENTS,Austin American-Statesman (Texas),How a gift made its way from Austin to Adelaide,Andra Lim American-Statesman Staff,METR; Pg. B3,,202 words,,,"December 14, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,opal,Austin,mayor,city,Adler,Adelaide,return,official,gem,conference,several,lord,second,Paris,top,government,secretly,take,precious,international,trip,part,global,story,intrigue,happen,steve,adler,travel,change,large,broach,martin,haese,sister,earlier,order,inquire,back,gather,dust,give,1983,wife,wear,formal,event,past,report,worth,ten,thousand,dollar,lock,safe,deposit,box,ask,bring,smaller,find,dig,United_Nations_Climate,Council_Member_Leslie_Pool,Lord,Australian,Adelaide_City_Council,South_Australian,Contact_Andra_Lim
,8,6,5,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2015 Monday",47 of 98 DOCUMENTS,Austin American-Statesman (Texas),Ridership taking hit on fare increases,Ben Wear American-Statesman Staff,METRO; Pg. B1,,965 words,,,"January 12, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,fare,percent,million,agency,bus,increase,Capital_Metro,2008,ride,higher,time,ridership,revenue,price,go,people,money,much,pass,cost,need,recovery,fiscal,MetroRail,service,transit,many,less,change,rail,hit,move,rate,cover,expense,tax,ago,boarding,give,base,free,dollar,fall,pretty,board,last,basic,allow,option,2010,set,open,disability,pay,2011,capital,toward,2006,operating,annual,still,case,although,line,seven,effect,expect,car,quarter_century,one_way,decide,priceless,stop,charge,1989,result,stimulate,jump,31.2,loss,cent,discount,already,later,complaint,transient,use,climate,mobile,home,reinstitute,old,oddly,1991,leave,period,experiment,apparently,work
,22,21,14,12,10,10,9,8,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2015 Friday",48 of 98 DOCUMENTS,Austin American-Statesman (Texas),UT fraternity won't be punished for party,"Compiled from staff,wire reports",METRO; Pg. B1,,463 words,,,"February 27, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,party,fraternity,Rivera,university,similar,complaint,student,group,administrator,rule,violate,theme,wear,poncho,sombreros,write,record,show,2014,house,campus,add,file,part,school,people,gather,rally,ago,organizer,time,meet,University,Phi_Gamma_Delta,Reagins_Lilly,UT,Campus_Climate_Response_Team,Latino_Community_Affairs,february,reportedly,border,patrol,hard,hat,jefe,pablo,sanchez,determination,make,public,thursday,surface,host,subject,disappointing,offensive,last,therefore,warrant,punishment,senior,associate,vice,president,dean,limitation,punish,activity,involve,freedom,expression,take,place,west,official,nevertheless,discuss,peril,ternity,strife,ongoing,education,matter,continually,change,leader,release,press,january,contends,member,know,stereotypical,clothing,mariachi,outfit,office,throw,feb
,12,8,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2015 Friday",49 of 98 DOCUMENTS,Austin American-Statesman (Texas),Movies,American-Statesman Staff,A360; Pg. T42,,2614 words,,,"April 27, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,min,grade,Cinemark_Galleria,Tinseltown_Pflugerville,respect,Barton_Creek_Square,Tinseltown_Austin,life,Cinemark_Southpark_Meadows,Lakeline_Mall,Cinemark_Cedar_Park,Cinemark_Round_Rock,Starplex,Westgate,rock,code,City_Lights,c+,arbor,round,EVO,Highland,find,Alamo_Lakeline,pg,family,Domain,Moviehouse,Eatery,Cinemark_Stone_Hill_Center,Metropolitan,review,starr,young,p.m.,blvd,Alamo_Slaughter,Gateway,Alamo_South,page,friend,home,3d,n.,Violet_Crown,Flix_Brewhouse,Bullock_Museum,police,group,change,d.,man,past,follow,b.,son,b+,af,theater,6226,austinfilm.org,w.,s.,Alamo_Village,Marchesa_Hall,Middle_Fiskville_Road,true,story,child,series,mall,force,save,turn,back,new,fight,believe,woman,set,documentary,secret,couple,st.,friday,137,six,keep,head,teenage,daughter,never,take,duty,room,girl,alone,101,death
,35,33,16,16,15,14,14,13,13,12,11,11,11,11,10,10,10,9,9,9,9,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 7, 2015 Monday",53 of 98 DOCUMENTS,Austin American-Statesman (Texas),Round Rock man's plan: swim the mighty Pacific,Claire Osborn American-Statesman Staff,METR; Pg. B1,,736 words,,,"September 8, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,swim,Lecomte,boat,time,people,go,take,wear,water,something,across,hour,include,San_Gabriel_River,goggle,snorkel,training,person,mile,cancer,research,father,found,scientific,organization,shark,cold,understand,call,move,five,journey,six,three,plan,per,wetsuit,attention,ocean,make,think,change,different,heart,result,show,warm,temperature,run,keep,closer,Pacific,­lecomte,emerge,georgetown,hot,august,morning,swimsuit,flipper,foot,155,pound,slender,look,lark,tranquil,else,do,round,rock,resident,"5,500",1998,swam,"3,500",raise,money,memory,die,age,back,nonprofit,group,actor,willing,brave,giant,wave,tedium,somebody,tell,crazy,passionate,smile,interview,along,native,marry
,14,10,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2015 Wednesday",55 of 98 DOCUMENTS,Austin American-Statesman (Texas),Texas wineries shine with rosé,Arianna Auber American-Statesman Staff,LIFE; Pg. D1,,764 words,,,"July 1, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,wine,rosé,Texas,grape,2014,red,make,Broglie,rosb,dry,winemaker,summer,note,winery,Mourvedre,drink,white,find,bottle,fruit,Cinsault,sweet,pink,way,complexity,drinker,hot,climate,region,recent,varietal,today,variety,strawberry,recommend,fresh,spiciness,blend,draw,watermelon,best,gold,burst,online,another,citrus,berry,Hill_Country,French,San_Francisco_International_Wine_Competition,perceive,aficionado,dare,touch,change,big,ask,master,sommelier,global,beverage,buyer,spend,entire,seminar,rave,leave,recommendation,list,around,world,produce,easy,wallet,sipping,steam,weather,fresher,lighter,structure,cool,equivalent,boy,ahead,heat,provide,perfect,copious,amount,exactly,grow,state,need,thrive,pursuit,ago,possible,start,persuade
,20,17,11,10,8,7,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 9, 2015 Friday",58 of 98 DOCUMENTS,Austin American-Statesman (Texas),Pollution permit fight expected to resume,Asher Price American-Statesman Staff,MAIN; Pg. A1,,751 words,,,"January 9, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,process,contest,permit,proposal,session,way,environmental,case,judge,state,Texas,effort,last,make,overhaul,citizen,controversial,look,business,industrial,file,group,administrative,law,director,court,Minick,attract,economy,another,plant,give,affair,project,december,take,hearing,damage,legislative,facility,people,government,office,hear,whose,lawmaker,change,go,suggest,less,time,report,staff,examine,Business,West,Fraser,Senate,interest,likely,push,pollution,streamline,improve,bulldozing,roadblock,power,refinery,major,site,similar,fail,makeup,shift,right,modest,chance,success,anticipate,legislation,vice,president,governmental,powerful,predictability,expediency,fairness,cumbersome,seemingly,favor,stall,stop,remark,official,chamber,commerce,example,landfill,expansion
,10,7,7,7,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 1, 2015 Wednesday",61 of 98 DOCUMENTS,Austin American-Statesman (Texas),Indiana backlash not affecting Texas proposals,Chuck Lindell American-Statesman Staff,MAIN; Pg. A1,,846 words,,,"April 2, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,religious,amendment,law,propose,government,state,burden,Texas,religion,similar,practice,act,people,1999,Indiana,protect,language,Krause,texas,constitution,exercise,protection,give,go,freedom,allow,court,backlash,enact,support,legislator,interference,opponent,discrimination,gays,lesbian,business,plan,amend,right,every,take,disagree,legislation,sen,harm,lawsuit,constitute,know,federal,free,standard,resolution,way,rights,add,church,former,protest,funeral,Texas_Constitution,national,recently,objection,dim,introduce,measure,condone,particularly,guise,liberty,paint,intolerant,hurt,climate,company,halt,expansion,avoid,happen,supporter,must,texan,freely,without,improper,limiting,prayer,high,school,activity,prohibiting,owner,family,opposition,marriage,already,constitutional,beef
,14,14,11,9,8,8,8,8,6,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 29, 2015 Sunday",66 of 98 DOCUMENTS,Austin American-Statesman (Texas),"OBIT: TAYLOR, Donald Ray",Austin American-Statesman,METR; Pg. B6,,865 words,,,"November 30, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Don,Austin,work,graduate,daughter,Texas,school,life,friend,love,lead,go,band,change,time,family,care,University,november,hold,know,play,late,sound,wire,air,record,master,press,return,early,choice,recycl,measure,good,way,world,help,make,nurse,doctor,Christi,die,peacefully,thursday,2015,due,complication,hepatitis,cirrhosis,memorial,service,reception,2:00,pm,friday,december,4th,4700,grover,avenue,78756,bear,tuesday,1941,precocious,child,teacher,pet,answer,recite,poetry,flawless,memory,allow,snag,role,everyone,else,line,addition,center,w.hl,basketball,team,1960,1965,receive,bachelor,degree,however,moral,objection,effort,eventually,resign,join,war,counterculture
,15,9,7,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2015 Monday",70 of 98 DOCUMENTS,Austin American-Statesman (Texas),"Luring admirers, peregrine falcon holds territory upon Frost Tower",Julie Chang American-Statesman Staff,METRO; Pg. B1,,422 words,,,"January 12, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,peregrine,falcon,bird,pigeon,building,spot,o'brien,downtown,tower,skyscraper,decade,male,white,point,last,local,winter,find,rock,around,pair,Texas,Austin,o',brien,eat,lunch,16th,floor,office,work,unfamiliar,visitor,land,three,block,north,wolf,bear,top,dramatic,inspiring,glimpse,animal,ultimate,symbol,wilderness,female,sometimes,mark,black,barring,tail,feather,slate,blue,beak,regularly,september,perch,prong,logo,friday,common,accord,expert,climate,change,normally,migrate,coast,slowly,move,inland,population,rebound,number,decimate,use,pesticide,ddt,surprised,every,time,together,â,let,go,expectation,interim,director,state,park,region,natural,oase,capitol,grounds,huge
,9,7,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 25, 2015 Sunday",72 of 98 DOCUMENTS,Austin American-Statesman (Texas),"SEVEN DAYS, SEVEN THINGS TO DO",American-Statesman Staff,LIFESTYLE; Pg. D2,,799 words,,,"January 26, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,e.,Austin,â,rock,new,st,purchase,play,screen,center,pair,punk,life,sixth,special,offer,ticket,start,last,pop,local,expect,thursday,world,dance,company,season,work,titus,show,sunday,effect,changelings,Roll_High_School,Marky_Ramone,Frost,Bass_Concert_Hall,monday,701,thelongcenter.org,session,head,class,partner,irresitible,1979,musical,drummer,introduce,film,afterward,participate,discussion,story,probably,lot,memoir,blitzkry,ramone,nice,hear,juicy,detail,straight,horse,mouth,compile,aauber,statesman.com,tiger,tuesday,709,www.facebook.com/easytigeratx,flight,bourbon,available,able,hour,advance,plus,onsite,per,person,worth,absolutely,plan,accordingly,max,frost,parish,door,wednesday,217,parishaustin.com,young,upstart,ink,deal
,9,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 5, 2015 Thursday",73 of 98 DOCUMENTS,Austin American-Statesman (Texas),'Professor Dumpster' ends yearlong project,Patrick Beach American-Statesman Staff,METRO; Pg. B3,,699 words,,,"February 5, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,dumpster,Wilson,home,night,project,last,live,place,may,professor,know,student,house,new,Austin,maybe,little,associate,lot,go,trash,take,sustainability,education,challenge,campus,give,space,pretty,life,stay,turn,better,spend,usually,outside,people,housing,disposal,Jeff,Huston_Tillotson,prepare,move,occasion,bound,promote,reflection,nostalgia,melancholy,late,dean,biological,science,university,helper,do,work,must,miss,container,confess,tear,tuesday,really,sweet,end,week,window,unit,storage,false,floor,slide,roof,weather,station,measurement,every,five,minute,much,else,identitywise,still,mom,son,lead,focus,outreach,opportunity,bear,use,albeit,thoroughly,scrub,fumigate,bin,around,town
,14,10,7,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2015 Monday",74 of 98 DOCUMENTS,Austin American-Statesman (Texas),Texas solar industry finds itself on defensive in 2015,Asher Price American-Statesman Staff,MAIN; Pg. A1,,950 words,,,"February 23, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,solar,Texas,industry,state,renewable,power,energy,wind,source,percent,utility,sunny,lawmaker,project,make,install,2013,million,business,increase,price,last,finally,play,less,think,effort,legislation,encourage,investment,incentive,support,chair,subsidy,receive,portion,electric,megawatt,capacity,end,enough,home,accord,trade,association,grid,2014,mandate,promote,fall,potential,growth,blog,really,oil,gas,requirement,argue,electricity,ratepayer,dollar,instead,lobbyist,ago,director,frame,New_Jersey,utility_scale,Public_Utility_Commission,Legislature,business_friendly,Mirzatuny,hope,offense,conventionally,getaway,generally,shrugg,cost,drop,competitive,ratchete,seem,unlikely,fee,contrary,policymaker,threaten,take,step,actively,weaken,legislator,suggest,abandon,plan,altogether,recommend,strip
,21,13,12,10,10,9,9,7,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 21, 2015 Saturday",75 of 98 DOCUMENTS,Austin American-Statesman (Texas),"Peace, one heart at a time",Nicole Villalpando American-Statesman Staff,LIFESTYLE; Pg. E1,,1975 words,,,"March 24, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Iraq,surgery,love,preemptive,courtney,family,child,heart,doctor,Courtney,make,go,Iraqi,help,kid,know,much,live,place,find,soon,defect,start,time,people,bigger,shoe,hospital,question,move,organization,learn,need,coalition,grow,always,answer,take,way,realize,change,life,begin,back,Jessica,wife,medical,work,train,guy,play,band,friend,church,terrorism,think,whether,right,community,sense,put,tell,understand,mean,muslim,issue,choose,new,cost,send,bring,money,dangerous,Israel,Turkey,Fallujah,ask,around,2007,later,international,lack,bear,patriarchy,girl,lead,normal,grade,school,together,world,leadership,area,minister,value,shape,group,focus,well
,22,20,17,16,15,14,13,11,10,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 29, 2015 Sunday",76 of 98 DOCUMENTS,Austin American-Statesman (Texas),Visitors: U.S. knows little on 43 missing Mexicans,James Barragan American-Statesman Staff,INSIGHT; Pg. E1,,1119 words,,,"March 30, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,student,government,Garcia,Mexican,attack,group,people,drug,never,miss,take,disappearance,case,think,crowd,tell,ask,caravan,call,news,remain,American,Mexico,U.S.,audience,stop,gang,still,public,situation,military,cartel,become,United_States,Iguala,look,happen,september,municipal,police,city,arrest,classmate,six,dead,three,trip,earlier,member,present,town,twitter,though,small,towards,bad,solution,problem,professor,human,turn,attorney,general,office,find,night,mask,man,among,especially,state,away,disappear,president,denouncing,make,back,action,memory,poor,farmer,life,may,jame,San_Antonio,Trinity_University,then_mayor,pack,auditorium,voice,boom,probably,southern,college,protest,speech,wife,link,area
,10,9,9,9,8,8,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"April 26, 2015 Sunday",77 of 98 DOCUMENTS,Austin American-Statesman (Texas),Salt Lick owner touts responsible growth for the Hill Country,Sean Collins Walsh American-Statesman Staff,MAIN; Pg. A1,,1737 words,,,"April 28, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
