PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,Smith,office,award,scientist,hearing,scientific,flat,smith,administration,extreme,government,people,Texas,field,congressman,earth,data,politically,global,warming,hand,receive,work,fact,research,chair,last,week,promote,monday,rally,dress,dollar,wear,science,paper,climate,agenda,policy,continue,energy,production,know,dec.,building,group,U.S.,Earth,feed,naysaying,dozen,austinite,descend,give,rep,lamar,antonio,accuse,federal,alter,correct,result,recent,citation,honor,tireless,reject,obvious,grand,tradition,believer,everywhere,skillful,use,congressional,power,undermine,uncomfortable,inconvenient,sign,president,pseudoscience,conven,tuesday,presidential,hopeful,sen,ted,cruz,title,negotiator,around,globe,meet,talk,step,willing,take,address
,9,7,6,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2015 Tuesday",17 of 98 DOCUMENTS,Austin American-Statesman (Texas),Will rates rise? Depends on fine print,Asher Price American-Statesman Staff,MAIN; Pg. A4,,703 words,,,"August 4, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,energy,utility,new,rule,emission,Texas,power,renewable,rate,business,environmental,take,plan,Austin_Energy,federal,depend,much,credit,past,recognize,efficiency,carbon,Austin,impact,plant,customer,monday,analyze,administration,climate,change,investment,avoid,need,allow,may,help,reduce,comment,wholesale,argue,drive,cost,family,group,benefit,health,support,official,job,affordable,clean,challenge,local,president,regulation,Central_Texas,Obama,Clean_Power_Plan,U.S.,fine,print,effort,add,spokesman,possible,aim,cut,gas,ultimately,affect,pay,lot,whether,authority,last,couple,decade,tamp,1990,approximately,"1,000",megawatt,peak,demand,upgrade,home,stave,construction,equivalent,track,reach,goal,percent,2017,look,substantial,commitment,make
,8,7,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 7, 2015 Saturday",18 of 98 DOCUMENTS,Austin American-Statesman (Texas),LBJ warning on climate unheeded,American-Statesman Staff,MAIN; Pg. A16,,944 words,,,"November 9, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,report,level,carbon,dioxide,ago,human,percent,courthouse,voter,burn,fossil,fuel,pollution,higher,increase,tuesday,location,election,know,write,1965,air,water,time,atmosphere,take,million,point,ppm,action,build,bond,downtown,defeat,CO2,Carbon,Travis_County,global,three,decade,danger,climate,grow,century,release,president,much,though,publish,pervasive,pollutant,call,co2,sea,note,begin,industrialize,atmospheric,vast,learn,enough,change,annual,mean,past,exist,today,nation,affluence,waste,problem,go,seaborn,vote,commissioner,think,right,proposal,reject,measure,new,probably,county,response,deal,community,democracy,turnout,project,proposition,immediate,JODY,Eckhardt,concern,warming,penetrate,public,awareness,number
,9,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"October 1, 2015 Thursday",21 of 98 DOCUMENTS,Austin American-Statesman (Texas),"Pot, gays gaining support, poll says",Tim Eaton American-Statesman Staff,METR; Pg. B1,,598 words,,,"October 1, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,percent,poll,issue,texan,Texans,half,support,survey,state,discrimination,police,important,nearly,accord,legalization,marijuana,change,view,adult,football,respondent,immigration,experience,face,Blank,release,oppose,attitude,approve,group,include,climate,youth,data,voter,hispanics,border,country,question,law,believe,either,unfavorable,favorable,worry,Texas_Lyceum,Texas_Lyceum_Poll,Affordable_Care_Act,race_based,African_Americans,Texas,gay,marriage,2009,wednesday,2011,decriminalize,conduct,sept,shrink,opposition,might,reflect,beginning,treatment,form,epilepsy,recent,ninth,measure,ask,presidential,race,thursday,unique,register,likely,political,rather,look,entire,population,research,director,younger,diverse,society,notably,young,reveal,nuance,among,legislature,800,million,security,hundred,trooper,station
