PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2000, Saturday",30 of 95 DOCUMENTS,Austin American-Statesman (Texas),Clinton taps into stockpile of U.S. oil; Bush says decision to,Scott Shepard American-Statesman Washington Staff,News; Pg. A1,,1053 words,,,"September 23, 2000",ENGLISH,,,"Energy Secretary Bill Richardson said Friday's oil release was not about politics. 'The president wants to help the American people get home heating oil and have enough heat in their homes,' he said. ; President Clinton: Released oil a day after Gore pleaded for such action.",,,,Copyright 2000 The Austin American-Statesman
,oil,price,president,heating,release,home,political,million,decision,reserve,barrel,near,help,think,bad,past,Clinton,Strategic_Petroleum_Reserve,Bush,Gore,winter,presidential,vice,consumer,people,energy,idea,move,production,percent,American,authorize,limited,emergency,stockpile,friday,immediately,heat,bush,rise,inventory,many,economist,action,republican,administration,tap,ago,campaign,stop,change,public,policy,state,nearly,eight,last,country,ease,make,big,gasoline,issue,lower,gallon,need,fall,temporary,market,crude,impact,include,supply,revenue,la,writer,Barton,Texas,Northeast,Richardson,American_Statesman,government,amid,grow,concern,crisis,thing,dialogue,rival,al,gore,w.,charge,politically,motivate,shrink,direct,571,border
,26,14,10,9,8,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2000, Thursday",31 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Winter calls for cozy touches; Even after the holidays, your home can",Martha Stewart,XL; Pg. E12,,1433 words,,,"January 7, 2000",ENGLISH,,,Winter project: A painted floor,,,,Copyright 2000 The Austin American-Statesman
,fabric,edge,make,use,curtain,stitch,apple,start,add,floor,room,she,side,inch,question,color,simple,work,sew,pillow,cut,right,yarn,rosemary,way,paint,board,winter,column,home,blanket,look,valance,window,may,jelly,cup,space,good,remove,finish,corner,around,combination,time,bring,wool,enough,rod,attach,throw,new,fold,place,needle,feel,send,crab,fruit,can,Martha_Stewart,painting,wood,wonderful,personality,floorboard,check,another,pattern,idea,something,sand,lightly,old,rough,instruction,begin,avoid,roller,hand,brush,climate,favorite,cover,fresh,easy,project,decorate,visit,require,hang,tension,mount,material,top,decorative,loop,beautiful,follow
,13,11,10,10,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 11, 2000, Tuesday",32 of 95 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,Editorial; Pg. A8,,976 words,,,"January 14, 2000",ENGLISH,,,"Brian Hay, who oversees the Culinary Arts program at Austin Community College, adds pepper to some stir fry as Cheryl Drummond prepares to mix the ingredients., Gov. George W. Bush",,,,Copyright 2000 The Austin American-Statesman
,school,law,savings,new,tort,jan,dec.,reform,justice,insurance,president,abortion,important,home,plant,article,austin,critic,claim,bring,system,billion,know,youth,mifepristone,test,place,lot,sport,Austin,Texas,culinary,art,program,student,mathis,five,ago,real,wrong,fewer,settlement,lawsuit,list,go,change,world,continue,troubled,protect,country,tell,ban,reverse,issue,make,clear,appoint,vs.,child,must,privacy,destroy,recently,line,pay,miss,district,parent,salary,environment,behavior,picky,aol.com,front,page,section,date,ever,letter,writer,Bush,Supreme_Court,folk,fun,thank,highlight,cooking,future,chef,unique,leadership,style,capture,overall,vibe,frenetic,pace,well
,8,7,7,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2000, Sunday",33 of 95 DOCUMENTS,Austin American-Statesman (Texas),Advice from the front: Face the fire; SBA administrator took risks to,Vivian Marino,Business; Pg. J1,,680 words,,,"January 16, 2000",ENGLISH,,,Aida Alvarez: Former journalist is first Hispanic woman to serve in the Cabinet.,,,,Copyright 2000 The Austin American-Statesman
,business,small,loan,SBA,Alvarez,service,today,technology,go,job,financial,among,entrepreneur,include,work,program,billion,market,neighborhood,el,salvador,life,change,woman,serve,take,failure,start,idea,plan,money,owner,direct,development,portfolio,guarantee,fiscal,record,lend,climate,lender,use,need,good,achieve,beyond,expand,people,U.S.,decade,ago,accomplish,journalist,win,award,broadcast,coverage,guerrilla,activity,grow,restless,something,different,recall,long,time,gut,dawn,television,assignment,countryside,early,1980,backdrop,distant,gunfire,put,physical,line,story,uneasy,career,worst,happen,back,move,public,investment,banking,regulation,rank,powerful,administrator,administration,hispanic,person,heritage,cabinet,personal
,22,12,8,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2000, Saturday",34 of 95 DOCUMENTS,Austin American-Statesman (Texas),AOL dealsets off a chain reaction,Fred Barbash,Weekly Business Review; Pg. 1,,874 words,,,"January 26, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,company,need,internet,merger,cable,buy,happen,market,technology,use,another,week,big,deal,change,seem,stock,property,anything,fast,either,potential,news,wireless,content,platform,customer,last,Yahoo,AOL,industry,term,chain,process,open,anywhere,affect,media,portal,rise,convergence,predict,suddenly,accelerate,vortex,close,reason,keep,mind,much,sell,expensive,every,conjecture,new,perceive,ago,speak,brick,via,service,investor,confront,choose,imperative,broadband,force,million,share,provider,yet,warning,flag,Time_Warner,Disney,high_speed,frequently,describe,catalytic,mild,characterize,reaction,better,hour,world,potentially,way,take,count,minute,alone,include,connect,realization,sank,faster,longer,adequate,sucking
,8,8,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2000, Wednesday",40 of 95 DOCUMENTS,Austin American-Statesman (Texas),"ACC police uniform to take on casual look,; Some officers against",Sharon Jayson American-Statesman Staff,Metro/State; Pg. B1,,521 words,,,"July 12, 2000",ENGLISH,,,"Sgt. Roger Miller, a seven-year veteran of the Austin Community College police force, is opposed to the upcoming change in uniform, saying people won't take the officers seriously. ; Members of the Austin Community College police force will soon be sporting ash gray polo shirts and blue slacks, as worn by Lt. Robert Sanchez at the Middle Fiskville campus in Austin, and blue blazers as part of their new uniform. The shirts and blazers, which will debut in the fall, also will include ACC police patches.",,,,Copyright 2000 The Austin American-Statesman
,police,officer,uniform,force,shirt,look,blazer,may,blue,wear,navy,gray,polo,take,sa,id,ACC,ash,traditional,approachable,less,move,worried,pants,acc,make,we,seriously,issue,college,complaint,student,campuse,change,training,still,level,equipment,budget,five,man,woman,soon,midnight,accented,fall,must,hang,have,dress,slack,formidable,administrator,promote,congenial,atmosphere,slated,new,garb,agree,lose,immediate,recognition,potential,crime,deterrent,emblazon,patch,security,guard,armed,license,quit,rather,switch,preppy,people,anymore,sgt,feel,nothing,slapping,face,seven,among,task,recommend,vice,president,order,create,friendlier,climate,series,job,receive,put,authoritative,air
,8,8,7,6,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2000, Friday",41 of 95 DOCUMENTS,Austin American-Statesman (Texas),Clinton: Forest count toward emission cuts,Josef Hebert,News; Pg. A18,,525 words,,,"August 5, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,treaty,carbon,forest,reduction,dioxide,emission,make,ton,sink,administration,absorb,agricultural,gas,require,credit,cut,million,soil,2008,argue,many,mean,State_Department,United_States,account,amount,greenhouse,industry,wednesday,310,expect,negotiation,contend,energy,environmentalist,submit,intend,industrial,country,reduce,heavy,reliance,scientist,Clinton,heat_trapping,Senate,United_Nations,U.S.,propose,land,substantial,pend,international,global,warming,ease,burden,burn,fossil,fuel,acceptable,must,ratify,report,calculate,metric,annually,use,crop,livestock,graze,nearly,half,annual,beginning,official,upcoming,implement,significant,portion,count,toward,priority,vice,president,al,gore,help,craft,republican,party,presidential,nominee,w.,bush,costly,burdensome,critic,sharply
,10,9,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 17, 2000, Tuesday",45 of 95 DOCUMENTS,Austin American-Statesman (Texas),Nader heads to town amid third-party fight for Texas; Green Party,"Gary Susswein, American-Statesman Staff",News; Pg. A1,,1102 words,,,"October 18, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,candidate,Texas,campaign,people,presidential,Buchanan,support,run,percent,Browne,Nader,party,government,education,receive,vote,president,economy,Republican,Reform_Party,lot,office,disgust,three,week,think,investment,adviser,eliminate,national,make,1992,1996,occupation,worth,noting,Green_Party,Austin,third_party,headquarters,experience,address,politics,wednesday,well,keep,include,appearance,sell,political,change,bring,give,ever,federal,limit,social,group,consumer,advocate,finance,reform,primary,democrat,law,enough,ballot,state,poll,less,former,world,box,author,history,lawyer,degree,Fenwick,Ralph_Nader,Doogs,Bruce_Buchanan,Bachelor,Nixon,with,bush,might,insufferable,nightmare,another,have,really,recent,feel,do,job,issue,important,embolden,debate
,16,10,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2000, Sunday",49 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Trawling is damaging, but here's the catch: Shrimpers need to do it",Mike Leggett,Sports; Pg. C14,,866 words,,,"April 2, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,trawl,shrimp,bay,bottom,Texas,water,area,shrimper,watling,by_catch,back,damage,species,pound,something,industry,fishing,pressure,coastal,boat,shrimping,make,use,do,million,problem,fish,catch,end,issue,reduce,many,angler,control,dig,protect,habitat,turtle,coral,desirable,destroy,know,least,worldwide,recover,everything,system,director,impact,quickly,plume,nets,crab,every,Texas_Parks,Wildlife,University,Watling,TPWD,McEachron,akin,piling,start,scream,happen,cut,dirty,wake,already,trouble,economically,ecologically,new,license,buy,exist,attempt,amount,whose,family,spend,generation,earning,livelihood,find,uncomfortable,position,2000,work,1970,price,recreational,push,exert,muddy,grass,bed,gulf,curtail
,13,10,8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 26, 2000, Thursday",53 of 95 DOCUMENTS,Austin American-Statesman (Texas),"SYNTHESIZING, MILLS; Music by Philip Glass.Story by William",MICHAEL BARNES american-statesman staff,XL Ent; Pg. 19,,1678 words,,,"October 28, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,Mills,dance,body,ballet,dancer,classical,movement,style,hamlet,mill,modern,Balanchine,neoclassical,modernist,yet,move,may,Ballet_Austin,limb,turn,partner,artistic,follow,phrase,century,position,lift,include,music,often,every,Graham,curve,hip,another,company,critic,line,four,especially,jazz,break,technique,stage,modernism,expressive,high,pattern,never,split,lower,round,leg,Stephen_Mills,Austin,American,tilt,twist,director,make,silk,world,leader,new,job,international,strength,base,choreographer,last,season,away,chaste,set,go,back,foot,male,greatest,formal,rigid,demonstrate,half,20th,adapt,classicism,taste,step,musicality,popular,balletic,shoe,describe,remain,floor,shape,remind,leave,right
,23,16,15,13,12,11,9,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 4, 2000, Friday",56 of 95 DOCUMENTS,Austin American-Statesman (Texas),AUSTIN'S TOP-HEAVY APARTMENT MARKET; Most of city can't afford most,Chuck Lindell,News; Pg. A1,,736 words,,,"February 10, 2000",ENGLISH,,,"High-end amenities: Wide bathtubs, a workout room and a landscaped pool area add to life at Jefferson at Treetops, a Northwest Austin apartment complex. Even with rents far above the city's average, Jefferson at Treetops is fully occupied, and 40 to 60 prospective renters visit the leasing office each week. Most apartments built in Central Texas in the '90s were luxury developments.",,,,Copyright 2000 The Austin American-Statesman
,apartment,rent,unit,build,cost,complex,building,land,price,Zuniga,center,last,people,luxury,square,percent,renter,expensive,market,affordable,work,lower,suburb,Austin,bright,fitness,gate,kitchen,less,enough,charge,foot,vacant,typically,long,move,rise,suburban,live,room,go,cheaper,compete,high,pay,mortgage,however,older,many,renovate,property,paint,addition,might,per,Treetops,Travis_County,resident,jefferson,swim,hillside,pool,exercise,bake,sauna,behind,control,access,park,attach,garage,enter,spacious,designer,vault,ceiling,wide,garden,bathtub,old,spicewood,spring,road,"1,155","1,665",240,decade,"12,596",similar,time,number,although,survey,make,"25,000",worker,fill,new,3.6
,11,11,10,8,7,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 9, 2000, Wednesday",58 of 95 DOCUMENTS,Austin American-Statesman (Texas),Austin schools consider May vote on taxes; Election would determine,Tara A. Trower,Metro/State; Pg. B1,,816 words,,,"February 11, 2000",ENGLISH,,,"Pat Forgione: Superintendent says it's a question of how to pay, not whether to pay",,,,Copyright 2000 The Austin American-Statesman
,district,school,state,voter,property,tax,election,money,property_wealthy,may,official,another,limit,Austin,option,law,hold,board,per,send,plan,require,decide,choose,pay,"295,000",spend,declare,value,choice,approval,share_the_wealth,Texas_Education_Agency,earlier,must,relinquish,next,consider,city,tuesday,student,reach,ask,whether,directly,poorer,vote,agency,notification,formal,know,several,pupil,requirement,allow,surpass,way,increase,raising,rate,take,we,throm,five,present,consolidate,accord,almost,per_pupil,expect,disburse,much,million,mandatory,along,schedule,finance,base,threshold,surrender,probably,later,spring,instead,summer,originally,save,"200,000",enough,time,second,sept,deadline,measure,fail,question,bill,week,certification
,37,14,13,8,7,7,7,7,7,6,6,6,6,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2000, Friday",60 of 95 DOCUMENTS,Austin American-Statesman (Texas),Florida schools oK admission changes,,News; Pg. A2,,351 words,,,"February 18, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,state,thursday,rule,university,fall,officer,jury,sex,admission,public,end,racial,preference,school,enter,find,lander,design,engines,spacecraft,latest,early,"22,000",lesser,charge,Mars,fla,system,board,approve,eliminate,race,consideration,college,panel,vote,favor,gov,jeb,bush,florida,plan,granting,contract,federal,court,beginning,student,apply,1997,calif,flaw,cause,cut,prematurely,165,million,descend,surface,engineer,glitch,several,possibility,investigation,make,contact,dec.,land,begin,mission,study,climate,history,theory,suggest,jarr,descent,possibly,release,craft,back,shell,might,trigger,shutoff,suppose,control,slow,kindergartner,track,follow,six,progress,national,sample,youngster,private,kindergartens,1998
,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2000, Friday",61 of 95 DOCUMENTS,Austin American-Statesman (Texas),Internet challenge,Geri Ruane,Technopolis; Pg. H3,,405 words,,,"February 18, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,candy,ms,public,go,package,sell,chocolate,internet,challenge,history,popular,type,web,site,name,answer,soldier,world,war,many,ago,later,tube,know,character,new,make,melt,student,sweet,tooth,learn,travel,20th,century,discover,origin,reason,favorite,address,http,industrial,read,text,question,sr.,idea,ii,change,form,pouch,today,famous,slogan,think,space,shuttle,astronaut,choose,part,food,supply,city,retail,store,open,proclaim,official,spokescandy,millennium,title,autobiography,help,hire,design,2020,look,color,shape,taste,much,cost,market,give,surprise,friend,test,trivia,knowledge,next,time,munch,fact,unique,forrest,mar,notice,eat,pellet
,8,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2000, Sunday",62 of 95 DOCUMENTS,Austin American-Statesman (Texas),Bradley aides deny March 7 is a must,,News; Pg. A9,,1071 words,,,"February 20, 2000",ENGLISH,,,"Roadblock: A man who shouted ""Meat is murder!"" dumped manure Saturday at Tommy's Country Ham House in Greenville, S.C., where George W. Bush had breakfast. The man belongs to People for the Ethical Treatment of Animals.",,,,Copyright 2000 The Austin American-Statesman
,campaign,march,Bradley,saturday,state,little,Clinton,flag,gore,administration,protect,land,Gore,McCain,aide,primary,quote,expect,behind,end,week,issue,president,republican,bigotry,take,bush,lady,time,service,part,conservative,support,vote,defend,environment,clean,spend,royalty,public,law,Bill_Bradley,Post,GOP,New_York,deny,story,likely,abandon,achieve,significant,victory,samoa,hold,caucuse,communication,director,although,good,result,point,continue,fare,poorly,poll,show,every,majority,delegate,choose,hard,draw,scenario,well,back,front,another,senior,adviser,pursue,suicide,strategy,go,nowhere,report,challenge,vice,al,accuse,presidential,leader,tolerate,racial,refuse,stand,remove,confederate,capitol,neither
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2000, Sunday",63 of 95 DOCUMENTS,Austin American-Statesman (Texas),Decision 2000 Voter's Guide: Where the presidential candidates stand,,Insight; Pg. H1,,1363 words,,,"February 27, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,tax,billion,oppose,raise,support,ban,money,increase,education,gun,welfare,abortion,spend,public,credit,campaign,foreign,care,yes,rights,military,school,health,U.S.,nominate,finance,soft,defense,crease,use,child,environment,policy,control,federal,immigration,wage,plan,Supreme_Court,Minimum,Expand,make,give,private,aid,new,state,favor,treaty,license,income,savings,account,let,percent,national,time,teacher,250,fund,offshore,handgun,premium,benefit,cost,maintain,level,"1,000",individual,limit,pay,per,cut,background,check,show,medical,mandate,worker,religious,volunteer,group,lead,citizen,taxpayer,financing,free,people,become,poor,rural,head,start,coastal,kyoto,global,warming,five,mandatory
,20,18,14,13,11,9,9,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 2, 2000, Thursday",64 of 95 DOCUMENTS,Austin American-Statesman (Texas),Scientists' long shot from long ago: frozen mammoth is up for cloning,John Mangels,News; Pg. A1,,810 words,,,"March 5, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,mammoth,dna,cell,sheep,animal,DNA,ancient,extinct,biologist,ice,easy,scientist,produce,species,researcher,molecular,clon,skin,take,giant,carcass,expedition,freeze,protect,use,help,biology,chance,virtually,really,never,geneticist,history,science,development,whose,intact,provide,habitat,prehistoric,thing,university,do,egg,fuse,attempt,start,material,water,genetic,American_Museum,Natural,Dolly,Greenwood,week,jackhammering,permafrost,last,fall,free,cube,encase,woolly,member,build,iron,cage,support,block,scrounge,enough,kerosene,power,helicopter,ferry,mammal,150,mile,cave,wind,part,project,intend,spring,try,pluck,cadaver,live,"4,000",feat,fan,jurassic,park,lead,believe,relatively,recent,breakthrough,genetics
,10,9,8,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2000, Saturday",65 of 95 DOCUMENTS,Austin American-Statesman (Texas),Islamic law and disorder; Conflict over religious rules divides,Bert Roughton Jr.,News; Pg. A2,,914 words,,,"March 5, 2000",ENGLISH,,,"Standing among fellow Muslims, Abdul Hamid, second from left says sharia -- IslamicLaw-- should be the law of the land in nigeria. // Ferdinand Obi Abbas, a Christian, fears that Muslims in Nigeria want to subject members of his faith to Islamic law. Muslims say they don't.",,,,Copyright 2000 The Austin American-Statesman
,state,sharia,law,Nigeria,christians,Muslim,Muslims,religion,conflict,country,last,week,group,leader,religious,Nigerian,faith,take,human,rule,believe,government,people,president,together,former,Islamic,Obasanjo,vision,work,make,break,divine,god,follow,muslim,able,go,north,must,democracy,among,introduce,reaction,rights,lead,violence,civil,crisis,campaign,world,live,decade,general,agree,court,provision,criminal,political,challenge,ethnic,Abbas,Christian,Zamfara,unfortunately,frighten,friend,tiny,electronics,shop,near,office,tumultuous,maze,passageways,sprawling,market,hamid,firm,yearn,edict,punishment,land,steal,hand,chop,alcohol,stone,death,being,fear,subject,member,never,sister,wife,mother,woman,instead
,10,9,8,8,7,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2000, Sunday",67 of 95 DOCUMENTS,Austin American-Statesman (Texas),5 battle to face tough GOP foe; Democrats face big challenges in,Dave Harmon,Metro/State; Pg. B1,,1099 words,,,"March 12, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,money,campaign,state,favor,office,run,political,health,care,prescription,tax,citizen,use,support,race,general,worker,make,need,spend,drug,Clark,Medicare,Wightman_Cervantes,november,election,democrat,party,voter,ballot,retire,representative,candidate,time,lawyer,hispanic,home,wage,federal,elect,kelly,name,Congress,Dallas,Bintliff,Kelly,Social_Security,kay,bailey,hutchison,gun,pack,shift,leave,president,nomination,field,include,airline,bank,executive,back,game,rights,gay,community,h.,gerald,bintliff,"2,000",believe,government,provide,free,uninsured,abortion,legal,recognition,people,take,give,many,available,program,help,pay,security,consultant,buy,work,inance,privatizing,gene,attorney,know,protect,raid,raise,minimum
,10,8,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 13, 2000, Monday",68 of 95 DOCUMENTS,Austin American-Statesman (Texas),Free speech and higher education,Thomas G. Palaima,Editorial; Pg. A9,,846 words,,,"March 16, 2000",ENGLISH,,,Thomas G.Palaima,,,,Copyright 2000 The Austin American-Statesman
,university,higher,education,student,college,many,Texas,view,state,must,teach,hear,legislator,Junell,debate,primary,school,teacher,policy,protester,Austin,Kissinger,recently,often,greater,keep,think,among,public,better,west,chairman,professor,change,attend,secondary,know,work,place,program,support,improve,pay,take,research,speak,field,we,issue,society,find,sky,faculty,exchange,extreme,use,question,create,world,future,West,community,appear,news,may,good,reason,raise,wall,along,height,time,rowdy,element,campus,general,proof,something,right,serious,collective,sen,royce,rep,rob,junell,angelo,meet,discuss,challenge,face,stress,need,reflect,demographic,majority,minority,number,stronger
,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
