PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,security,article,nothing,principal,Finland,terrorist,dec.,carbon,learn,new,check,go,fossil,fuel,climate,source,offer,population,incident,air,travel,shoe,interest,leave,feel,program,pass,long,dioxide,letter,pollution,crisis,rapidly,land,mostly,methane,black,soot,agriculture,primarily,livestock,waste,burn,abortion,mind,growth,many,local,call,crime,problem,gun,ownership,austin.rr.com,love,airplane,take,able,endangered,species,retire,patterson,student,school,give,next_largest,human_caused,CO2,U.S.,Austin,recent,lead,conclusion,strategy,step,ahead,measure,every,enforcement,reactive,instigate,bomber,liquid,gel,attack,etc,transcend,color,nationality,transportation,administration,airlines,tend,lean,toward,make,faster,efficiency,productivity
,10,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 13, 2010 Wednesday",17 of 88 DOCUMENTS,Austin American-Statesman (Texas),Southwestern goes all-wind with electricity,Asher Price AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,540 words,,,"January 16, 2010",ENGLISH,"January 14, 2010 Thursday","* A story on Wednesday's Page B1 included an incorrect report from Southwestern University that it was the first university in Texas to get all its energy from renewable sources. In 2003, Concordia University at Austin - which is now known as Concordia University Texas - switched entirely to renewable energy.",,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,power,university,wind,energy,renewable,Georgetown,electricity,agreement,city,rate,Southwestern,deal,source,utility,need,five,percent,Texas,next,sign,tuesday,accord,actual,student,buy,help,goal,greenhouse,gas,president,time,equivalent,pay,break,green,Austin_Energy,exclusively,make,southwestern,school,subsidiary,electron,light,liberal,art,college,"1,300",general,electric,grid,enough,cover,use,aep,farm,151,turbine,initial,contract,2028,meet,carbon,neutral,add,atmosphere,february,formally,commit,campuse,eliminate,emission,educate,climate,neutrality,largest,customer,demand,450,home,assistant,manager,operation,georgetown,fix,neither,disclose,exact,competitive,reason,vice,fiscal,affair,higher,assume,conventional,rise,three,relatively,short
,11,11,7,7,6,6,5,5,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2010 Sunday",19 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Image, money, clout among priorities for Southwestern chief",Ralph K.M. Haurwitz AMERICAN-STATESMAN STAFF,INSIGHT; Pg. D01,,1618 words,,,"December 12, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,art,student,liberal,college,name,university,think,make,Southwestern,program,million,experience,help,change,people,president,country,have,five,percent,go,education,school,much,we,strong,least,phi,beta,kappa,chapter,really,science,Southwestern_University,Texas,Methodist,graduate,professor,technology,around,top,sustainability,study,quality,thing,institution,become,alumnus,need,priority,2008,drop,try,time,financial,feel,basic,sense,decision,another,nearly,group,three,position,world,addition,degree,recent,look,way,stand,regional,public,whole,research,lot,prospective,might,right,keep,highest,sure,academic,anyone,fill,kind,endowment,take,build,meeting,body,whatever,majority,can,great,language,service,know,enough
,15,15,14,12,11,10,10,10,9,8,8,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 23, 2010 Friday",20 of 88 DOCUMENTS,Austin American-Statesman (Texas),Green energy plan sails to easy approval,Marty Toohey AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,473 words,,,"April 24, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,plan,Austin_Energy,council,environmental,city,percent,time,global,energy,rate,estimate,electricity,thursday,source,give,mayor,vote,policy,take,cost,measure,raise,utility,hike,next,group,investment,debate,turn,future,adopt,significantly,power,wind,solar,emit,greenhouse,gas,call,obtain,renewable,2020,hour,public,discussion,speaker,speak,favor,unanimous,believe,past,show,leadership,initiative,lee,leffingwell,whose,office,coincide,think,keep,forefront,recognize,climate,change,challenge,problem,sum,local,suggestion,decreed,effect,later,craft,specific,goal,consider,alongside,objective,authorize,major,purchase,decide,approach,containment,request,big,business,advocate,poor,concerned,much,address,resolve,potential,conflict,new,priority,conclude
,13,6,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 17, 2010 Wednesday",22 of 88 DOCUMENTS,Austin American-Statesman (Texas),What do you mean primary season is over?,KEN HERMAN AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A08,,761 words,,,"March 18, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,primary,include,campaign,tell,million,green,judge,term,change,Brister,ad,dealer,need,governor,last,state,endorsement,quit,appoint,way,opinion,speak,Green,Supreme_Court,Perry,six_year,back,car,guy,promise,give,pick,season,runoff,gubernatorial,go,shami,spend,money,garner,seek,column,stump,decide,please,newspaper,issue,wife,woman,Shami,Sanchez,Katy_Christian_Magazine,Williamson,remember,complain,political,tv,march,approach,miss,ok,probably,chirpy,kia,can,beat,price,seem,hollow,either,free,charge,penny,less,hmmm,wonder,save,let,tie,loose,end,sadly,engage,seriously,somebody,rich,democrat,think,job,try,banker,businessman,almost,percent,vote,lose,gov,2002,general
,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
