PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"May 28, 2017 Sunday",1 of 173 DOCUMENTS,The New York Post,Trump has 'away' with people Heads for home after climate snub as rest of G-7 fumes,Mary Kay Linge,All Editions; Pg. 6,,635 words,,,"May 28, 2017",ENGLISH,,,"Homeward bound: President Trump's refusal to commit to a 2015 climate accord was called a ""situation of six against one"" by German leader Angela Merkel at the G-7 summit in Italy, where host Prime Minister Paolo Gentiloni spoke discreetly with Trump. (AFP/Getty Images)",,,Newspaper,"Copyright 2017 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Trump,call,ally,NATO,climate,president,country,spend,agreement,back,leader,deal,US,JOBS,global,change,saturday,promise,within,week,meeting,pledge,emission,review,position,topic,military,home,trade,trip,speak,defense,member,nation,tell,bond,great,time,lot,take,troops,United_States,Italy,Washington,climate_change,Cohn,lone,holdout,endorse,combat,summit,decide,make,final,decision,next,tweet,wealthy,democracy,conclude,arrive,shortly,p.m.,joint,communique,emphasize,swiftly,implement,limit,administration,reluctance,follow,process,policy,thus,join,consensus,statement,read,bit,harsh,assessment,situation,six,discussion,difficult,unsatisfactory,exultant,ignore,criticism,wrap,tour,speech,personnel,isle,think,hit,run,matter
,13,6,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 29, 2017 Wednesday",9 of 173 DOCUMENTS,The New York Post,Schneid and seek,Julia Marsh,Sports+Late City Final; Pg. 12,,174 words,,,"March 29, 2017",ENGLISH,,,,,,Newspaper,"Copyright 2017 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,group,send,Schneiderman,document,keep,private,outside,lawyer,climate_change,e_mail,AG,attorney,general,eric,schneiderman,try,hide,support,policy,target,president,conservative,charge,court,tuesday,organization,legal,sue,last,claim,lead,silencing,skeptic,refuse,disclose,show,collaboration,activist,ag,entitle,communication,must,hand,information,party,issue,october,2015,aide,boss,political,consultant,office,waive,right,operative,print,intend,read,judge,rule,matter,week,State,­e_mails,Trump,Manhattan,AGs,anti_climate_change,intra_office,Christina_Harvey,Kristie_Stiles,Francis_Menton,Harvey,Stiles
,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 27, 2017 Saturday",17 of 173 DOCUMENTS,The New York Post,Trump may be thawing on climate,Danika Fears,Sports+Late City Final; Pg. 8,,194 words,,,"May 28, 2017",ENGLISH,,,,,,Newspaper,"Copyright 2017 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,leader,Trump,Cohn,climate,Paris,change,make,accord,topic,economic,summit,trade,tell,president,stance,evolve,meeting,attempt,stay,top,official,friday,feel,much,knowledgeable,today,chief,adviser,gary,world,discuss,include,policy,terrorism,growth,learn,smarter,talk,environmental,award,receive,issue,important,add,anyone,think,care,environment,2015,mean,reduce,carbon,emission,fight,speak,sideline,criticize,country,many,argument,support,agreement,h.r,reporter,best,people,European,last_ditch,White_House,two_day,Sicily,German_Chancellor_Angela_Merkel,National_Security_Adviser,McMaster,American
,4,4,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2017 Monday",19 of 173 DOCUMENTS,The New York Post,NY GOP boss' climate storm,Carl Campanile,All Editions; Pg. 24,,229 words,,,"July 10, 2017",ENGLISH,,,,,,Newspaper,"Copyright 2017 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,cox,make,statement,Steyer,false,defamatory,probe,send,change,chairman,state,climate,letter,complaint,political,Exxon,Cox,billionaire,activist,accuse,gop,ed,discuss,learn,tom,steyer,found,group,next,gen,lawyer,threaten,object,dailycaller.com,comment,attorney,general,eric,schneiderman,exxon,slam,hit,job,speculate,whether,prodd,launch,seek,determine,oil,behemoth,violate,law,sell,fossil,fuel,without,disclose,effect,mr.,media,outlet,remove,story,inform,grossly,inaccurate,nature,spokesman,tell,post,complain,quote,attribute,interpret,contribution,exchange,influence,access,favor,unethical,and,or,unlawful,write,response,challenge,New_York,Post,California,hedge_funder,Republican_Party,Daily_Caller,Schneiderman,consumer_protection,Mr._Cox,Gil_Duran,Daily_Caller_Foundation,March
,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
