PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,company,change,investor,problem,stock,past,leader,global,climate,develop,lack,share,despite,clean,energy,investment,portfolio,value,billion,planet,take,make,money,put,technology,monday,forefront,address,0.7,president,fund,many,half,return,send,2014,involvement,lose,debt,end,Obama,PowerShares,WilderHill_Clean_Energy,exchange_traded,SolarCity,heating,world,action,warning,present,challenge,summit,kick,sunday,afternoon,number,cool,play,give,form,cooperation,complex,major,technological,breakthrough,far,bust,average,effort,target,work,way,produce,0.5,4.28,meaningful,pop,might,surprise,increasingly,significant,gate,well,fran¸ois,hollande,push,plan,help,funnel,drive,cost,talk,mainstream,growth,profitability,yet,political,event,sour
,11,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2015 Thursday",23 of 272 DOCUMENTS,USA TODAY,Pope's push on climate change is welcome,,NEWS; Pg. 6A,,197 words,,,"June 18, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,debate,issue,pope,scientist,need,leave,political,follow,republican,better,twitter,ask,follower,think,weigh,importance,support,effort,president,obama,good,zcarlander,use,metaphorical,club,real,impact,damage,politicize,papacy,zanzibarbmcfate,future,world,politician,make,pandering,campaign,donor,bigfoot695,usatopinion,tellusatoday,letter,today,article,stroke,pen,alter,presidential,candidate,stay,probably,science,monday,case,advice,speak,really,almost,unanimously,agree,occur,man,contribute,factor,leader,serve,we,address,rather,deny,pa,Pope_Francis,USA,Rick_Santorum,News,Santorum,Greg_Sloan_Butler
,7,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 17, 2015 Wednesday",27 of 272 DOCUMENTS,USA TODAY,Pope's encyclical colors debate on our climate; It's the right move for Catholic Church,Kirsten Powers,NEWS; Pg. 7A,,508 words,,,"June 17, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,catholics,likely,encyclical,human,activity,conservative,science,public,Pope_Francis,know,church,endorse,harm,believe,concern,credibility,scientific,consensus,happen,link,lung,prove,evidence,time,less,smoker,potential,error,advocate,care,hispanic,upcoming,U.S.,Vatican,release,teach,letter,thursday,widely,anticipate,history,focus,environment,leak,version,notion,contribute,menace,disproportionately,poor,many,pleased,blindly,bend,elite,opinion,step,lane,express,pull,reverse,galileo,turn,wrong,thus,perhaps,alternative,correct,silence,obeisance,skepticism,enhance,advancement,announce,2014,cause,airtight,smoking,cardiovascular,disease,latter,always,accept,1956,address,skeptic,though,complicity,cigarette,present,prevalence,cancer,satisfaction,everyone,yet,weight,serious
,6,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2015 Friday",36 of 272 DOCUMENTS,USA TODAY,USA needs to do its part to preserve the planet,,NEWS; Pg. 8A,,416 words,,,"April 24, 2015",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,change,warming,planet,climate,global,energy,scientist,people,clean,air,must,cut,carbon,continue,city,water,need,fuel,go,denier,cost,nothing,look,matter,live,destroy,help,environment,every,president,call,nation,protect,generation,address,advancing,good,goal,many,reason,include,reduce,pollution,transitioning,away,oil,eventually,run,dry,alarmist,notion,drastically,emission,right,overblown,correct,probably,already,late,prevent,significant,make,drastic,hurt,economy,country,output,unabated,crazy,work,transition,sure,best,approach,prepare,warmer,temperature,coastal,agriculture,official,plan,ahead,anywhere,anytime,soon,renewable,anyway,drawback,fallacy,propagate,attack,money,truth,dring,can,grow,crop,feed,let
