PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 19, 1997, Wednesday",64 of 135 DOCUMENTS,USA TODAY,Senators gunning for Lake from start,Walter Shapiro,NEWS; Pg. 2A; Politics,,898 words,,,"March 19, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,Lake,govern,senator,nominee,go,Washington,Senate,never,personal,letter,process,speak,issue,CIA,something,withdrawal,sen,small,dangle,longer,give,back,confirmation,policy,foreign,former,sometimes,suggest,sadly,seem,report,course,become,presidential,history,surround,nomination,legislator,constantly,politics,public,Intelligence_Committee,poignancy,outcome,drolly,amusing,flabbergasted,republican,response,sudden,chairman,reduce,insist,despite,ample,contrary,evidence,orrin,hatch,proudly,saddle,posse,personally,vote,end,probably,comment,reminiscent,boy,can,comprehend,playmate,upside,jungle,gym,hang,hear,tell,parent,funning,lunch,money,honest,comfortable,notion,adult,version,fly,ingrain,sense,honor,cause,resign,staff,invasion,prompt,compose,eloquent,lament
,14,6,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 24, 1997, Monday",65 of 135 DOCUMENTS,USA TODAY,Gore starts Asia tour stressing environment,Susan Page,NEWS; Pg. 12A,,393 words,TOKYO,,"March 24, 1997",ENGLISH,,,"PHOTO, b/w, AP",,,,"Copyright 1997 Gannett Company, Inc."
,Gore,China,meeting,U.S.,issue,global,trip,gore,human,rights,free,Beijing,vice,president,environmental,meet,official,election,way,business,people,plan,Japan,Gephardt,begin,tour,sunday,stress,signature,protect,environment,speech,challenge,agree,limit,carbon,monoxide,greenhouse,gas,conference,conven,december,change,problem,solution,action,wait,much,longer,whether,seek,influence,1996,constant,undercurrent,arrive,today,raise,explosive,allegation,appropriate,sensitive,leader,deny,try,funnel,money,sidelight,versy,campaign,contribution,aide,allow,reporter,cover,200,base,reason,press,secretary,preparation,talk,prime,minister,similar,private,week,discuss,concern,goal,sustainable,development,intend,centerpiece,table,crackdown,country,clearly,signal
,10,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 24, 1997, Monday",66 of 135 DOCUMENTS,USA TODAY,Gore starts Asia tour stressing environment,Susan Page,NEWS; Pg. 12A,,398 words,TOKYO,,"March 24, 1997",ENGLISH,,,"PHOTO, b/w, AP",,,,"Copyright 1997 Gannett Company, Inc."
,Gore,China,human,rights,president,issue,trip,discuss,trade,free,U.S.,vice,environmental,agree,greenhouse,gas,develop,world,must,target,sustainable,continue,development,election,gore,way,Asia,Chinese,Beijing,Gephardt,begin,tour,sunday,stress,signature,protect,environment,speech,global,meeting,challenge,limit,carbon,monoxide,conference,conven,december,realistic,achievable,legally,bind,emission,prepare,remark,take,care,put,we,energy,path,without,sacrifice,economic,growth,whether,official,seek,influence,1996,constant,undercurrent,arrive,today,raise,explosive,allegation,meet,leader,appropriate,sensitive,indignantly,deny,try,funnel,money,plan,concern,goal,intend,centerpiece,deficit,entry,organization,crackdown,turnover,chinese,control,summer,country
,7,6,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 26, 1997, Wednesday",67 of 135 DOCUMENTS,USA TODAY,"What is Fed's next move? Wall Street, not Main Street, may be Fed target",Bill Montague,MONEY; Pg. 1B,,1597 words,,,"March 26, 1997",ENGLISH,,,"PHOTO, Color, Joe Marquette, AP",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,rate,feed,inflation,Fed,economy,economist,price,1994,market,growth,federal,fund,hike,economic,point,move,index,official,raising,tuesday,low,give,last,bond,time,raise,percentage,increase,demand,higher,dollar,rise,risk,short_term,early,interest,push,different,analyst,target,seem,statement,expansion,next,0.25,slow,condition,business,consumer,start,bubble,take,wage,remain,pressure,keep,inflationary,speed,eventually,lead,firm,open,least,policymaker,1995,recession,bank,charge,loan,show,discount,hope,prudent,step,afford,greater,assurance,prolong,current,rest,hardly,financial,much,chief,view,finally,end,surge,several,experience,sale,auto,new,home,soar,trend,lower,another,slowed
,28,17,16,15,11,9,9,8,8,8,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 31, 1997, Monday",68 of 135 DOCUMENTS,USA TODAY,A funding boost may be in store,,LIFE; Pg. 4D,,345 words,,,"March 31, 1997",ENGLISH,,,,HEALTH AND BEHAVIOR,,,"Copyright 1997 Gannett Company, Inc."
,office,OAM,bill,research,budget,think,center,institute,charge,introduce,million,dollar,add,oam,House,DeFazio,Jonas,federal,squelch,stepchild,congressional,critic,expand,power,boost,earlier,finally,free,agency,test,therapy,timely,manner,defender,current,among,nih,director,chief,thing,fine,rather,involved,annual,zoom,198,version,sponsor,rep,peter,defazio,author,april,name,amount,elevate,whose,grant,approve,plan,bipartisan,support,lot,resistance,hostility,today,climate,spectacular,funding,increase,tough,sell,admit,change,might,step,create,money,despite,prefer,keep,backwater,health,siphon,claim,absolutely,staunch,supporter,take,stand,yet,pointedly,scientific,expertise,best,work,within,head,do
,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 1997, Monday",69 of 135 DOCUMENTS,USA TODAY,Singapore rediscovers its place in push for tourists Spanking clean city turns efforts to cultural preservation,Laura Bly,LIFE; Pg. 4D,,1294 words,SINGAPORE,,"April 07, 1997",ENGLISH,,,"GRAPHIC, B/W, USA TODAY (Map); PHOTO, Color, Singapore Tourist Promotion; PHOTOS, B/W, Sinagpore Tourist Promotion Board (4); PHOTOS, B/W, Meredith Pillon, Sinagpore Tourist Promotion Board (2)",,,,"Copyright 1997 Gannett Company, Inc."
,city,Singapore,singapore,popular,tourist,make,center,new,Asia,Chinese,sell,million,building,hotel,airport,century,world,past,effort,many,school,restaurant,shop,former,feature,several,offer,flight,Raffles_Hotel,financial,have,already,major,visitor,island,cruise,tourism,traveler,destination,night,look,zoo,restoration,structure,along,line,forget,promotion,board,convent,near,store,though,old,art,open,six,worker,house,hawker,stall,specialty,satay,guest,taste,shopping,still,tour,add,charge,dollar,cost,per,antique,item,after_dark,Indian,CHIJMES,Malaysian,Lau_Pa_Sat,Chinatown,Los_Angeles,San_Francisco,Orchard_Road,Indonesian,fine,boast,front,back,prove,list,penalty,activity,chew,gum,pick,flower,fail,flush
,13,8,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 1997, Thursday",71 of 135 DOCUMENTS,USA TODAY,Early retirement may crimp benefits,Sandra Block,MONEY; Pg. 4B,,764 words,,,"May 01, 1997",ENGLISH,,,"PHOTO, B/W",,,,"Copyright 1997 Gannett Company, Inc."
,retirement,plan,early,benefit,retire,may,make,go,work,health,live,care,personal,finance,specialist,cost,savings,spend,inflation,couple,big,company,particularly,assume,pension,Medicare,leave,dinner,financial,planner,increase,client,important,standard,sure,medical,cut,illness,young,last,reduce,take,money,life,calculate,long,family,history,200,enough,have,forget,annual,need,marry,talk,Levy,father_in_law,Kessler,baby,boomer,hip,well,beyond,senior,bowling,league,special,skate,visit,law,degree,wonder,number,50s,bailing,bad,idea,give,security,payment,interest,investment,sometimes,additional,difference,sign,daytime,scuba,class,consider,sacrifice,look,way,control,increasingly,retiree,inadequately,insure
,12,10,9,8,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 19, 1997, Thursday",73 of 135 DOCUMENTS,USA TODAY,NEITHER FOOD NOR DRUG Lack of science leaves safety up to consumer,Jayne O'Donnell,NEWS; Pg. 1A,,1896 words,,,"June 19, 1997",ENGLISH,,,"PHOTO, Color, Steve Barrett for USA TODAY",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,supplement,FDA,product,herb,drug,use,death,dietary,health,company,herbal,government,law,diet,safe,go,label,case,prove,tea,sell,market,maker,effective,make,claim,need,prescription,standard,USA,treat,industry,unsafe,ingredient,link,effect,1994,often,million,natural,business,cause,president,sale,work,report,might,tout,scientific,consumer,three,give,commission,expect,regulation,study,ephedra,warning,seven,look,food,approve,take,imminent,store,show,many,new,plant,pharmaceutical,substance,level,suggest,amount,dieter,research,Arizona_Natural,Germany,Tyler,desert,shrub,dirt,pill,right,extract,bark,everything,impotence,without,dangerous,keep,freedom,benefit,mean,controversial,federal,recommend,major,aid
,43,18,13,11,11,10,10,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 20, 1997, Wednesday",76 of 135 DOCUMENTS,USA TODAY,"Fed refrains, Dow rejoices, erasing loss",James Kim; Lorrie Grant,MONEY; Pg. 1B,,408 words,,,"August 20, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,market,thur,fri,tue,stock,feed,economist,rate,strike,composite,decision,interest,end,rally,tuesday,industrial,average,surge,monday,gain,virtually,friday,company,500,price,investor,economic,condition,low,look,give,economy,lee,dow,480,UPS,Poor,federal,reserve,boost,help,114.74,7918.10,couple,recover,3.1,drop,indexe,jump,index,heavy,technology,31.19,1600.71,13.52,926.01,bond,inch,higher,push,yield,benchmark,treasury,6.51,6.52,early,trading,bid,anticipation,announce,midday,5.5,bank,make,overnight,loan,chairman,alan,greenspan,governor,well,believe,favorable,remain,place,moderate,growth,unemployment,inflation,buoy,tentative,settlement,concerned,continue,eventually,snarl,business,especially,small
,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 1997, Friday",77 of 135 DOCUMENTS,USA TODAY,"...Third and long Rice comparisons, injuries encumber Stokes' first years",Richard Weiner,BONUS; Pg. 4E,,1058 words,,,"August 29, 1997",ENGLISH,,,"PHOTO, B/W, Robert Hanashiro, USA TODAY",,,,"Copyright 1997 Gannett Company, Inc."
,Stokes,stoke,k9er,next,receiver,game,season,1995,yard,Jerry_Rice,another,go,1996,rice,can,people,j.j.,injury,time,four,draft,pick,drop,catch,tds,still,start,player,wait,UCLA,Owens,problem,extremely,matter,costly,think,move,round,big,last,team,lead,13.7,766,course,break,right,training,camp,miss,muscle,open,apparently,make,much,become,million,hear,take,habit,play,meanwhile,use,five,lose,return,preseason,pass,n.y,jet,help,first_round,all_time,San_Diego,level,show,flash,brilliance,simple,albeit,painful,cross,bust,eat,salary,harder,trading,grab,perhaps,careful,anoint,someone,aside,case,tease,leave,average,discrepancy,statistic
,14,13,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 1997, Friday",79 of 135 DOCUMENTS,USA TODAY,Tour of bourbon landmarks is vintage Kentucky,Jerry Shriver,LIFE; Pg. 5D,,1963 words,"LORETTO, Ky.",,"October 06, 1997",ENGLISH,,,"GRAPHIC, B/W, USA TODAY (Map); PHOTOS, B/W, Michael Clevenger for USA TODAY (5)",,,,"Copyright 1997 Gannett Company, Inc."
,bourbon,distillery,make,whiskey,proof,tour,offer,barrel,Bardstown,water,place,distiller,several,visitor,center,flavor,Samuels,Kentucky,New_Haven,least,spring,room,old,premium,oak,town,west,maker,hwy,Mark,full,still,beverage,drive,landmark,central,site,next,time,discover,age,charr,state,connect,attraction,found,nearby,factory,country,oldest,house,national,build,head,hill,way,sample,home,know,go,near,product,feature,variety,complex,note,Abe_Lincoln,Catholic,giant,vat,hell,heaven,kentucky,mash,corn,family,company,1880,preserve,history,building,father,buy,tourist,work,trail,drink,include,classic,bar,historic,early,along,world,long,new,deluxe,connoisseur,1790
,27,16,10,9,9,8,8,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 27, 1997, Monday",84 of 135 DOCUMENTS,USA TODAY,Latin players sport high Series profile,Chuck Johnson,SPORTS; Pg. 5C,,970 words,MIAMI,,"October 27, 1997",ENGLISH,,,"PHOTO, b/w, Mike Blake, Reuters; PHOTO, b/w, Pat Sullivan, AP; PHOTO, b/w, Hans Deryk, AP",,,,"Copyright 1997 Gannett Company, Inc."
,game,player,number,Clemente,Cleveland,jr.,take,clemente,leave,start,people,thing,Latin,American,Albert,Nelson,world,series,make,proud,name,father,three,career,play,give,we,night,go,wear,great,ask,baseball,mvp,finally,respect,lead,enter,homer,win,understand,talk,lot,way,time,life,still,award,honor,latin,season,look,sunday,fish,fry,indian,last,fan,well,pull,bip,bug,baseman,late,catch,show,Roberto_Clemente,Series,Alomar,RBI,Alou,Hernandez,Marlins,Indians,Tony_Fernandez,Roberts,Bonilla,cut,low,tv,ratings,aspersion,cast,entirely,different,impact,premier,event,general,1971,sure,dream,true,hall,hispanic,recognition,25th,die,plane
,10,9,8,7,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 1997, Tuesday",86 of 135 DOCUMENTS,USA TODAY,Clinton signs 2 spending bills worth $108.5B; could veto parts,,NEWS; Pg. 10A,,375 words,,,"October 28, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,bill,president,Clinton,money,former,Senate,sign,provide,billion,stumble,catch,make,wife,still,aide,tell,help,patrol,border,confirm,ambassador,White_House,Huang,House,spend,monday,saturday,use,veto,power,strike,specific,item,40.1,transportation,agency,68.4,environmental,veterans,housing,community,development,space,science,program,toxic,waste,cleanup,tackle,climate,change,ozone,depletion,seven,annual,appropriation,await,final,congressional,passage,four,bog,partisan,dispute,climb,step,helicopter,ferried,suburban,grab,rail,physician,check,sure,reinjure,rupture,tendon,right,knee,continue,trip,continuation,50th,birthday,celebration,foreign,couple,give,"450,000",direction,overseas,official,arief,wiriadinata,investigator,november,1995,donation,business
,6,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 1997, Tuesday",91 of 135 DOCUMENTS,USA TODAY,Kyoto-bound Gore accepts political risks in making trip,Mimi Hall,NEWS; Pg. 8A,,706 words,WASHINGTON,,"December 03, 1997",ENGLISH,,,"PHOTO, b/w, Ruth Fremson, AP",,,,"Copyright 1997 Gannett Company, Inc."
,Gore,go,treaty,decision,environmentalist,Kyoto,president,political,think,Democratic,gore,greenhouse,gas,monday,announce,week,may,proposal,write,global,warming,vice,limit,emission,fly,country,administration,try,agreement,meeting,labor,constituency,issue,care,less,politics,environment,back,important,keep,presidential,make,news,group,expect,put,United_States,U.S.,Clinton,al,book,literally,seem,author,attend,negotiation,simple,next,present,position,speech,"1,500",delegate,160,leave,late,saturday,spend,hour,ground,home,order,demonstrate,commitment,solving,problem,follow,debate,calculation,deliberately,dampen,expectation,accomplish,perfectly,prepare,walk,away,work,disagree,many,scientist,blame,worldwide,rise,temperature,start,19th,century,conference
,11,8,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 1997, Wednesday",92 of 135 DOCUMENTS,USA TODAY,"User friendly -- and not Readers turn up the good, bad",,LIFE; Pg. 10D,,725 words,,,"December 03, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,use,button,message,easy,reader,bad,interface,take,press,make,computer,people,file,right,red,arrow,Houston,ask,idea,user,delete,work,number,can,way,best,business,internet,nomination,pc,software,command,save,puzzle,page,hit,however,must,icon,help,give,party,courtyard,code,building,guest,large,next,fire,alarm,controls,Race_Trac,consumer,product,difficult,plain,unfriendly,tech,extra,share,good,ugly,sampling,response,home,answer,machine,retrieve,voice,mail,three,simpler,wonder,cringe,light,blink,phone,jahn,seattle,traveler,hotel,lately,center,swipe,credit,card,fax,copier,printer,access,admission,representative,pa.,entertaining,piece,equipment,enjoy,call,never
,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 1997, Tuesday",94 of 135 DOCUMENTS,USA TODAY,"Environment conference progressing, Gore says",Traci Watson,NEWS; Pg. 12A,,398 words,"KYOTO, Japan",,"December 09, 1997",ENGLISH,,,"PHOTO, B/W, AP",,,,"Copyright 1997 Gannett Company, Inc."
,delegate,nation,visit,limit,greenhouse,gas,Gore,think,industrialize,treaty,vice,president,end,global,warming,help,speech,diplomat,agreement,public,session,monday,afternoon,go,already,scientist,heat,much,emission,Japan,United_States,European,talk,tuesday,maintain,push,discussion,forward,care,issue,process,generate,momentum,have,do,give,meet,environmental,group,speak,member,progress,make,morning,observer,meeting,quietly,perhaps,work,announce,soon,united,front,country,persuade,develop,agree,future,bound,reach,expend,significant,energy,squabble,wrangling,back,forth,subject,discuss,hour,many,occur,naturally,emit,car,power,plant,factory,lead,prevent,escape,pane,glass,trap,inside,fear,temperature,increase,degree
,5,5,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 1997, Thursday",96 of 135 DOCUMENTS,USA TODAY,Global warming deal required a world of give-and-take,Traci Watson,NEWS; Pg. 6A,,639 words,"KYOTO, Japan",,"December 11, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,treaty,country,limit,Senate,make,gas,level,president,emission,global,warming,agreement,heavy,result,greenhouse,prime,minister,nation,strict,six,system,Japanese,Europeans,United_States,figure,already,seem,something,achieve,less,world,leader,pact,delegate,everyone,though,much,include,rise,sea,concession,settle,1990,americans,european,three,place,develop,trading,work,dissatisfied,fight,send,Clinton,environmentalist,industry,bashing,newborn,fact,approve,minor,miracle,late,tuesday,night,official,put,odd,desire,eventually,overcame,difference,many,face,political,pressure,home,160,force,significant,compromise,happy,accord,end,conference,loom,diplomatic,lift,unprecedented,curb,carbon,dioxide,scientist,accumulate,atmosphere,trap,heat,fiercer,storm
,10,8,8,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 1997, Friday",101 of 135 DOCUMENTS,USA TODAY,Last men on the moon say it's time for a return trip,Paul Hoversten,NEWS; Pg. 4A,,300 words,WASHINGTON,,"December 12, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,moon,Schmitt,apollo,mission,Cernan,energy,surface,reach,soil,source,power,exploring,last,man,lunar,believe,go,need,continue,explore,disappointing,dec.,Earth,provide,almost,unlimited,plant,spacecraft,planet,walk,whatever,change,clear,fact,lot,moonwalker,25th,anniversary,landing,fellow,astronaut,country,make,mistake,have,dubious,perhaps,honor,dub,leave,footprint,thursday,back,head,engineering,firm,former,senator,adjunct,professor,nation,lose,outer,space,tap,resource,plan,manned,next,century,rich,light,isotope,fusion,reactor,earth,upper,atmosphere,environmentally,benign,heat,produce,hydrogen,oxygen,water,byproduct,launch,1972,commander,geologist,scientist,land,module,sixth,WASHINGTON,global_climate,Harrison_Schmitt,Eugene_Cernan,National_Press_Club
,7,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 1997, Friday",103 of 135 DOCUMENTS,USA TODAY,Big 3: Global-warming pact poses threat Gas-guzzling vehicles provide biggest profits,Earle Eldridge; Micheline Maynard,MONEY; Pg. 7B,,894 words,DETROIT,,"December 12, 1997",ENGLISH,,,"GRAPHIC, B/W, Gary Visgaitis, USA TODAY, Source: Autodata (Pie chart, 2); PHOTOS, B/W (2)",,,,"Copyright 1997 Gannett Company, Inc."
,vehicle,automaker,car,big,three,truck,emission,sell,electric,Chrysler,sport,utility,meet,standard,requirement,take,pickup,sale,force,Kyoto,global_warming,Ford,sport_utility,California,Detroit,pact,dioxide,biggest,auto,gasoline,average,mile,drive,minivan,treaty,make,new,economy,ford,customer,GM,face,environmental,thursday,tentative,agreement,company,whose,accord,must,reduce,pollutant,global,warming,amount,carbon,produce,gallon,emit,less,effect,tough,general,require,plan,passenger,2004,1998,state,appeal,regulation,government,fuel,production,go,expedition,raise,effort,voice,opposition,put,introduce,work,continue,development,New_York,Chevrolet,worst,crisis,1970,alar,fortune,rest,propose,approve,contribute,1990,level,contributor
,12,9,9,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"September 22, 1997, Monday",107 of 135 DOCUMENTS,USA TODAY,"Girding for El Nino For some, 'It's almost reached the level of panic' Weather system's '83 visit caused billions in damage",Richard Price,NEWS; Pg. 1A,,1525 words,SAN FRANCISCO,,"September 22, 1997",ENGLISH,,,"GRAPHIC, B/W, Grant Jerding, USA TODAY, Source: The USA TODAY Weather Book, second edition, available in bookstores from Vintage Books(Map); PHOTO, Color, JPL; PHOTO, Color, Bob Riha Jr., USA TODAY; PHOTO, B/W, Bob Riha Jr., USA TODAY; PHOTO, B/W, Nick Ut, AP",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,el,nino,water,rain,1983,weather,coast,time,storm,warm,species,California,o'toole,people,around,last,effect,across,wind,area,drop,every,north,food,Los_Angeles,San_Diego,home,emergency,lot,major,wave,prepare,cause,may,already,sea,usual,record,winter,federal,suddenly,ocean,breeding,hurricane,life,normally,triple,average,fish,state,program,Washington,have,do,everything,seal,preparedness,number,know,good,reason,wall,mud,slide,new,size,current,change,country,worldwide,start,week,moment,enjoy,air,region,level,ill,predict,blow,agency,temperature,still,warming,develop,die,surface,hot,ground,guarantee,billion,damage,other,almost,pour,concrete,expert,true,cover
,27,27,10,9,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 19, 1997, Tuesday",109 of 135 DOCUMENTS,USA TODAY,Signs that change is already underway,Jack Williams,LIFE; Pg. 4D,,456 words,,,"August 19, 1997",ENGLISH,,,,SCIENCE,,,"Copyright 1997 Gannett Company, Inc."
