PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 29, 2011 Monday",5 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CLEARED OF WRONGDOING, PENN STATE CLIMATOLOGIST STILL SEES 'SMEARS'",PITTSBURGH POST-GAZETTE,STATE; Pg. B-4,,696 words,,,"August 30, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,email,climate_change,research,investigation,include,climate,mann,hack,science,claim,change,Mr._Mann,controversy,prove,mo,continue,researcher,three,issue,proof,fraudulent,2009,critic,data,manipulate,reflect,statement,other,false,allegation,word,context,denial,colleague,lot,smear,campaign,scientist,world,debate,occur,subject,Penn_State,United_Kingdom,NSF,begin,nearly,ago,try,e.,climatologist,behind,national,foundation,clear,wrongdo,connection,skeptic,consider,doctor,geology,geophysics,serve,director,already,central,figure,late,stronger,lightning,rod,presidential,candidate,aug,inspector,general,conclude,flaw,close,case,represent,last,seven,heist,personal,flippant,describe,reckless,injudicious,four,nsf,dispell,justify,conclusion,seventh,arise,leak,denier,mining
,11,9,8,6,6,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2011 Friday",13 of 385 DOCUMENTS,Pittsburgh Post-Gazette,U.S. CLIMATE ENVOY SHIFTS POSITION ON TALKS,"John M. Broder, The New York Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-3",,529 words,,,"December 9, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,climate,U.S.,change,2020,action,United_States,conference,international,agreement,treaty,nation,future,Mr._Stern,envoy,negotiator,new,administration,negotiate,endorse,proposal,delegate,annual,speak,ms.,borah,delay,need,legally,bind,keep,give,take,face,criticism,fellow,environmental,activist,impassion,heckler,chief,thursday,shift,position,least,language,timetable,set,talk,d.,stern,special,put,defensive,narrative,develop,oppose,address,global,disruption,1997,kyoto,protocol,primary,voluntary,program,recently,run,course,deny,drag,foot,somewhat,ambiguously,quickly,start,statement,190,disrupt,junior,tell,assembly,forfeit,right,behalf,attend,representative,obstructionist,shackle,justice,ambition,far,long,scared,late,wait,urgent,path,fair,ambitious
,8,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2011 Sunday",16 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CORBETT QUIETLY TURNING OFF THE LIGHTS ON RENEWABLE ENERGY,"Don Hopey, Pittsburgh Post-Gazette",STATE; Pg. A-1,,1271 words,,,"August 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,energy,program,state,change,office,administration,staff,renewable,government,policy,sustainable,department,alternative,DEP,conservation,clean,job,efficiency,accord,continue,PennFuture,gas,director,governor,climate,create,focus,executive,agency,gov,development,former,source,administer,work,help,make,mr.,ms.,million,simeone,important,wind,Marcellus_Shale,Energy,Pennsylvania,eliminate,natural,deployment,primary,reassign,council,support,supply,part,tom,environmental,organization,promote,green,economy,industry,attack,national,portfolio,standard,grant,provide,company,secretary,reduce,employee,issue,away,republican,purchase,percent,electricity,move,understand,refer,question,dep,save,concern,exclusively,hanger,produce,sense,world,Technology,Energy_Management,General_Services,Green,previous,democratic,boom,quietly,systematically
,37,24,17,11,10,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"December 11, 2011 Sunday",20 of 385 DOCUMENTS,Pittsburgh Post-Gazette,LONG FACES IN DURBAN; CLIMATE CHANGE CONFERENCE CHILLED BY CONTRARY EVIDENCE,Jack Kelly,EDITORIAL; Pg. B-3,,766 words,,,"December 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,report,scientist,climate,change,global,data,IPCC,warming,many,sea,level,support,accord,conference,scam,world,anthropogenic,write,email,temperature,government,U.N.,Durban,chill,face,find,produce,lead,ms,lafromboise,part,dr.,morner,rise,book,october,department,science,politician,journalist,we,risen,long,preposterous,scammer,carbon,power,subsidy,make,financial,president,never,much,alarmism,among,mo,hansen,wind,CO2,NASA,unseasonable,cold,greet,delegate,nov,impend,collapse,brazen,history,warning,doom,base,scientific,literature,chairman,claim,writer,laframboise,check,"18,531",reference,2007,"5,587",newspaper,magazine,article,unpublish,theses,pamphlet,environmental,group,supposedly,author,graduate,student,select,political,connection,diversity
,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
